time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
0.94,0.009999999999999898,0.0,0.138,-0.04317146239870434,0.0,11.540032642718415,0.4,-0.4,254.00000000000006,254.00000000000006
0.95,0.010000000000000009,0.0,0.138,-0.042567861664250715,0.0,11.70246041454584,0.4,-0.4,254.00000000000006,254.00000000000006
0.96,0.010000000000000009,0.0,0.138,-0.04196240645031178,0.0,11.865388159989834,0.4,-0.4,254.00000000000006,255.00000000000006
0.97,0.010000000000000009,0.0,0.138,-0.0413551370559707,0.0,12.02880647709253,0.4,-0.4,254.00000000000006,254.00000000000006
0.98,0.010000000000000009,0.0,0.138,-0.040746092904584565,0.0,12.192706105320667,0.4,-0.4,254.00000000000006,254.00000000000006
0.99,0.010000000000000009,0.0,0.138,-0.040135312562814454,0.0,12.357077925199064,0.4,-0.4,254.00000000000006,255.00000000000006
1.0,0.010000000000000009,0.0,0.138,-0.03952283375924206,0.0,12.521912957831773,0.4,-0.4,255.00000000000006,254.00000000000006
1.01,0.010000000000000009,0.0,0.138,-0.03884718937845578,0.0,12.703755959392765,0.4,-0.4,254.00000000000006,254.00000000000006
1.02,0.010000000000000009,0.0,0.138,-0.038231262986237594,0.0,12.869535134457237,0.4,-0.4,254.00000000000006,254.00000000000006
1.03,0.010000000000000009,0.0,0.138,-0.03761374995934529,0.0,13.035750574286794,0.4,-0.4,254.00000000000006,255.00000000000006
1.04,0.010000000000000009,0.0,0.138,-0.03699468477641463,0.0,13.202393869326897,0.4,-0.4,254.00000000000006,254.00000000000006
1.05,0.010000000000000009,0.0,0.138,-0.03637410116683749,0.0,13.369456746734159,0.4,-0.4,254.00000000000006,254.00000000000006
1.06,0.010000000000000009,0.0,0.138,-0.03575203212704345,0.0,13.536931069388174,0.4,-0.4,255.00000000000006,255.00000000000006
1.07,0.010000000000000009,0.0,0.138,-0.03512850993642756,0.0,13.70480883483333,0.4,-0.4,254.00000000000006,254.00000000000006
1.08,0.010000000000000009,0.0,0.138,-0.03450356617293194,0.0,13.873082174167394,0.4,-0.4,254.00000000000006,255.00000000000006
1.09,0.010000000000000009,0.0,0.138,-0.033877231728288826,0.0,14.041743350873276,0.4,-0.4,254.00000000000006,254.00000000000006
1.1,0.010000000000000009,0.0,0.138,-0.03324953682293243,0.0,14.210784759599846,0.4,-0.4,254.00000000000006,254.00000000000006
1.11,0.010000000000000009,0.0,0.138,-0.03262051102058664,0.0,14.380198924904107,0.4,-0.4,254.00000000000006,254.00000000000006
1.12,0.010000000000000009,0.0,0.138,-0.03199018324253579,0.0,14.54997849994379,0.4,-0.4,254.00000000000006,254.00000000000006
