time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
0.4,0.4,0.0,0.138,-0.08,0.0,3.200000000000273,0.4,-0.4,254.00000000000006,254.00000000000006
0.8,0.4,0.0,0.138,-0.06708661330582183,0.0,7.4541972137517405,0.4,-0.4,254.00000000000006,254.00000000000006
1.2000000000000002,0.4,0.0,0.138,-0.045506999037349526,0.0,13.311522851646714,0.4,-0.4,255.00000000000006,255.00000000000006
1.6,0.4,0.0,0.138,-0.020451116739398208,0.0,20.060852957120915,0.4,-0.4,255.00000000000006,254.00000000000006
2.0,0.4,0.0,0.138,0.006067578325019821,0.0,27.228574438568558,0.4,-0.4,255.00000000000006,254.00000000000006
2.4,0.4,0.0,0.138,0.03319374536825852,0.0,34.57739317011783,0.4,-0.4,254.00000000000006,255.00000000000006
2.8,0.4,0.0,0.138,0.0605721813371672,0.0,42.00268474405766,0.4,-0.4,254.00000000000006,255.00000000000006
3.1999999999999997,0.4,0.0,0.138,0.0880553786993203,0.0,49.45995226975356,0.4,-0.4,254.00000000000006,254.00000000000006
3.5999999999999996,0.4,0.0,0.138,0.11558208102145041,0.0,56.93053635421984,0.4,-0.4,254.00000000000006,254.00000000000006
3.9999999999999996,0.4,0.0,0.138,0.14312684993742741,0.0,64.40665699483907,0.4,-0.4,254.00000000000006,244.00000000000006
4.3999999999999995,0.4,0.0,0.138,0.1706791214878946,0.0,71.88507795893292,0.4,-0.4,255.00000000000006,1.0000000000000002
4.8,0.4,0.0,0.138,0.19823450870724652,0.0,79.36445438696501,0.1,-0.5,254.00000000000006,1.0000000000000002
5.2,0.4,0.21020525750815958,0.13318654594539453,0.22208460049240974,0.0,85.9002714898943,0.1,-0.5,254.00000000000006,254.00000000000006
5.6000000000000005,0.4,0.4805503328994979,0.12259810281256775,0.24177855354212036,0.0,91.91363533242065,0.1,-0.5,255.00000000000006,254.00000000000006
6.000000000000001,0.4,0.7600608087584697,0.10744401305045295,0.25704331500263755,0.0,97.71534554204663,0.1,-0.5,254.00000000000006,149.00000000000003
6.400000000000001,0.4,1.0409985822140413,0.08892809681946974,0.2672700227760523,0.0,103.43108582936247,0.1,-0.5,254.00000000000006,0.0
6.800000000000002,0.4,1.3221581862761207,0.0684404132119116,0.27189589016400145,0.0,109.11146523579691,0.1,-0.5,254.00000000000006,8.000000000000002
7.200000000000002,0.4,1.6033520896065352,0.04753628598601789,0.2706463547125044,0.0,114.77722074703343,0.1,-0.5,0.0,254.00000000000006
7.600000000000002,0.4,1.8845512225440049,0.027825893898815485,0.2636487737636085,0.0,120.43691407391088,0.5,-0.1,1.0000000000000002,254.00000000000006
8.000000000000002,0.4,1.7440356135463442,0.007476745089326747,0.2599145948195113,0.0,126.06230385405797,0.5,-0.1,1.0000000000000002,255.00000000000006
8.400000000000002,0.4,1.4844509488580544,-0.0132563552749764,0.2621786846010287,0.0,131.71178973903034,0.5,-0.1,254.00000000000006,218.00000000000006
8.800000000000002,0.4,1.2066205702923052,-0.032572018736108294,0.2701393680894697,0.0,137.36647521695477,0.5,-0.1,254.00000000000006,254.00000000000006
9.200000000000003,0.4,0.9259458595058706,-0.048921957190601745,0.28315330354954293,0.0,143.0218633431018,0.5,-0.1,254.00000000000006,254.00000000000006
9.600000000000003,0.4,0.6448277458048908,-0.06101811839938065,0.3001940963471557,0.0,148.677299223948,0.5,-0.1,254.00000000000006,254.00000000000006
10.000000000000004,0.4,0.36293752146650304,-0.06792026769316142,0.319973801376878,0.0,154.34685500287787,0.5,-0.1,255.00000000000006,255.00000000000006
10.400000000000004,0.4,0.08173950190596822,-0.06905208996818157,0.34084055772576244,0.0,160.00225849656636,0.5,-0.1,255.00000000000006,254.00000000000006
10.800000000000004,0.4,-0.19946018946099575,-0.06434874970785742,0.36120179558441606,0.0,165.65765536160507,0.5,-0.1,254.00000000000006,255.00000000000006
11.200000000000005,0.4,-0.4806601413890909,-0.05417972454988712,0.3794580777063544,0.0,171.3130493286235,0.5,-0.1,254.00000000000006,255.00000000000006
11.600000000000005,0.4,-0.7618601339121991,-0.039343832508805354,0.3941753125046819,0.0,176.96844206951164,0.5,-0.1,254.00000000000006,255.00000000000006
12.000000000000005,0.4,-1.0430601327537092,-0.02100648880051889,0.4041974094650229,0.0,182.62383429768488,0.5,-0.1,254.00000000000006,255.00000000000006
12.400000000000006,0.4,-1.3242601325760535,-6.081603374876732E-4,0.4087370966491161,0.0,188.27922631238926,0.5,-0.1,254.00000000000006,255.00000000000006
12.800000000000006,0.4,-1.6054601325495814,0.020248787798607754,0.40743776509676305,0.0,193.93461823836014,0.5,-0.1,254.00000000000006,254.00000000000006
13.200000000000006,0.4,-1.886660132545962,0.039925964089925575,0.4004014823652204,0.0,199.59001012746694,0.5,-0.1,254.00000000000006,254.00000000000006
13.600000000000007,0.4,-2.1678601325456044,0.05687765243718976,0.3881809749726636,0.0,205.24540200126376,0.5,-0.1,255.00000000000006,255.00000000000006
14.000000000000007,0.4,-2.4490601325456525,0.06977223401536929,0.37173620974032007,0.0,210.9007938687023,0.5,-0.1,254.00000000000006,254.00000000000006
14.400000000000007,0.4,-2.7302601325457005,0.07759679096768622,0.35235898481894834,0.0,216.55618573350102,0.5,-0.1,255.00000000000006,254.00000000000006
14.800000000000008,0.4,-3.0114601325457486,0.07973667492702347,0.3315714540950027,0.0,222.2115775972029,0.5,-0.1,198.00000000000006,254.00000000000006
15.200000000000008,0.4,-3.2926601325457967,0.07602378996347942,0.31100655628040336,0.0,227.86696946044867,0.5,-0.1,255.00000000000006,0.0
15.600000000000009,0.4,-3.573860132545845,0.06674979715475761,0.29227974143570695,0.0,233.52236132350617,0.1,-0.5,254.00000000000006,254.00000000000006
16.000000000000007,0.4,-3.43334458506159,0.06063880170891654,0.2725220033293509,0.0,239.14596511134323,0.1,-0.5,254.00000000000006,254.00000000000006
16.400000000000006,0.4,-3.1737599348685768,0.06043621447802626,0.2516697981991029,0.0,244.79470939611974,0.1,-0.5,254.00000000000006,254.00000000000006
16.800000000000004,0.4,-2.895929563914713,0.0660571491303296,0.23154971769400623,0.0,250.44908692473246,0.1,-0.5,254.00000000000006,254.00000000000006
17.200000000000003,0.4,-2.6152548567539275,0.07704645971571031,0.21377627383046316,0.0,256.1043471705584,0.1,-0.5,254.00000000000006,254.00000000000006
17.6,0.4,-2.334136744645034,0.09253738795033295,0.1997503182313154,0.0,261.7597299463796,0.1,-0.5,254.00000000000006,255.00000000000006
18.0,0.4,-2.05294951005458,0.11131233595104253,0.19057415082529533,0.0,267.4151251499102,0.1,-0.5,1.0000000000000002,244.00000000000006
18.4,0.4,-1.7717515000013457,0.13189633615350302,0.18696861998612774,0.0,273.0705195094074,0.5,-0.1,254.00000000000006,254.00000000000006
18.799999999999997,0.4,-1.912267357645574,0.1514396953336438,0.18020327909307782,0.0,278.69412465251025,0.5,-0.1,254.00000000000006,254.00000000000006
19.199999999999996,0.4,-2.17116764784406,0.16833124671595398,0.1680636333030741,0.0,284.3287367658272,0.5,-0.1,255.00000000000006,254.00000000000006
19.599999999999994,0.4,-2.44898233295053,0.18123591627998642,0.15163558676431255,0.0,289.9831095764307,0.5,-0.1,254.00000000000006,254.00000000000006
19.999999999999993,0.4,-2.7296545948378834,0.18907426449841952,0.13226498116466617,0.0,295.63836919612277,0.5,-0.1,254.00000000000006,254.00000000000006
